shift,multiply,caesar,multiplicative,result
1,3,zhm vc tvm tq mixm zuxeh ntxi,zxm ni hnm hy matm zktox phta,zxm ni hnm hy matm zktox phta
2,3,ain wd uwn ur njyn avyfi ouyj,cap ql kqp kb pdwp cnwra skwd,cap ql kqp kb pdwp cnwra skwd
3,3,bjo xe vxo vs okzo bwzgj pvzk,fds to nts ne sgzs fqzud vnzg,fds to nts ne sgzs fqzud vnzg
4,3,ckp yf wyp wt plap cxahk qwal,igv wr qwv qh vjcv itcxg yqcj,igv wr qwv qh vjcv itcxg yqcj
5,3,dlq zg xzq xu qmbq dybil rxbm,ljy zu tzy tk ymfy lwfaj btfm,ljy zu tzy tk ymfy lwfaj btfm
6,3,emr ah yar yv rncr ezcjm sycn,omb cx wcb wn bpib ozidm ewip,omb cx wcb wn bpib ozidm ewip
7,3,fns bi zbs zw sods fadkn tzdo,rpe fa zfe zq esle rclgp hzls,rpe fa zfe zq esle rclgp hzls
8,3,got cj act ax tpet gbelo uaep,ush id cih ct hvoh ufojs kcov,ush id cih ct hvoh ufojs kcov
9,3,hpu dk bdu by uqfu hcfmp vbfq,xvk lg flk fw kyrk xirmv nfry,xvk lg flk fw kyrk xirmv nfry
10,3,iqv el cev cz vrgv idgnq wcgr,ayn oj ion iz nbun alupy qiub,ayn oj ion iz nbun alupy qiub
11,3,jrw fm dfw da wshw jehor xdhs,dbq rm lrq lc qexq doxsb tlxe,dbq rm lrq lc qexq doxsb tlxe
12,3,ksx gn egx eb xtix kfips yeit,get up out of that grave woah,get up out of that grave woah
14,3,muz ip giz gd zvkz mhkru agkv,mkz av uaz ul zngz mxgbk cugn,mkz av uaz ul zngz mxgbk cugn
15,3,nva jq hja he awla nilsv bhlw,pnc dy xdc xo cqjc pajen fxjq,pnc dy xdc xo cqjc pajen fxjq
16,3,owb kr ikb if bxmb ojmtw cimx,sqf gb agf ar ftmf sdmhq iamt,sqf gb agf ar ftmf sdmhq iamt
17,3,pxc ls jlc jg cync pknux djny,vti je dji du iwpi vgpkt ldpw,vti je dji du iwpi vgpkt ldpw
18,3,qyd mt kmd kh dzod qlovy ekoz,ywl mh gml gx lzsl yjsnw ogsz,ywl mh gml gx lzsl yjsnw ogsz
19,3,rze nu lne li eape rmpwz flpa,bzo pk jpo ja ocvo bmvqz rjvc,bzo pk jpo ja ocvo bmvqz rjvc
20,3,saf ov mof mj fbqf snqxa gmqb,ecr sn msr md rfyr epytc umyf,ecr sn msr md rfyr epytc umyf
21,3,tbg pw npg nk gcrg toryb hnrc,hfu vq pvu pg uibu hsbwf xpbi,hfu vq pvu pg uibu hsbwf xpbi
22,3,uch qx oqh ol hdsh upszc iosd,kix yt syx sj xlex kvezi asel,kix yt syx sj xlex kvezi asel
23,3,vdi ry pri pm ieti vqtad jpte,nla bw vba vm aoha nyhcl dvho,nla bw vba vm aoha nyhcl dvho
24,3,wej sz qsj qn jfuj wrube kquf,qod ez yed yp drkd qbkfo gykr,qod ez yed yp drkd qbkfo gykr
25,3,xfk ta rtk ro kgvk xsvcf lrvg,trg hc bhg bs gung tenir jbnu,trg hc bhg bs gung tenir jbnu
1,5,zhm vc tvm tq mixm zuxeh ntxi,znm fo vfm vg mspm zapyn rvps,znm fo vfm vg mspm zapyn rvps
2,5,ain wd uwn ur njyn avyfi ouyj,esr kt akr al rxur efuds waux,esr kt akr al rxur efuds waux
3,5,bjo xe vxo vs okzo bwzgj pvzk,jxw py fpw fq wczw jkzix bfzc,jxw py fpw fq wczw jkzix bfzc
4,5,ckp yf wyp wt plap cxahk qwal,ocb ud kub kv bheb openc gkeh,ocb ud kub kv bheb openc gkeh
5,5,dlq zg xzq xu qmbq dybil rxbm,thg zi pzg pa gmjg tujsh lpjm,thg zi pzg pa gmjg tujsh lpjm
6,5,emr ah yar yv rncr ezcjm sycn,yml en uel uf lrol yzoxm quor,yml en uel uf lrol yzoxm quor
7,5,fns bi zbs zw sods fadkn tzdo,drq js zjq zk qwtq detcr vztw,drq js zjq zk qwtq detcr vztw
8,5,got cj act ax tpet gbelo uaep,iwv ox eov ep vbyv ijyhw aeyb,iwv ox eov ep vbyv ijyhw aeyb
9,5,hpu dk bdu by uqfu hcfmp vbfq,nba tc jta ju agda nodmb fjdg,nba tc jta ju agda nodmb fjdg
10,5,iqv el cev cz vrgv idgnq wcgr,sgf yh oyf oz flif stirg koil,sgf yh oyf oz flif stirg koil
11,5,jrw fm dfw da wshw jehor xdhs,xlk dm tdk te kqnk xynwl ptnq,xlk dm tdk te kqnk xynwl ptnq
12,5,ksx gn egx eb xtix kfips yeit,cqp ir yip yj pvsp cdsbq uysv,cqp ir yip yj pvsp cdsbq uysv
14,5,muz ip giz gd zvkz mhkru agkv,maz sb isz it zfcz mncla eicf,maz sb isz it zfcz mncla eicf
15,5,nva jq hja he awla nilsv bhlw,rfe xg nxe ny ekhe rshqf jnhk,rfe xg nxe ny ekhe rshqf jnhk
16,5,owb kr ikb if bxmb ojmtw cimx,wkj cl scj sd jpmj wxmvk osmp,wkj cl scj sd jpmj wxmvk osmp
17,5,pxc ls jlc jg cync pknux djny,bpo hq xho xi ouro bcrap txru,bpo hq xho xi ouro bcrap txru
18,5,qyd mt kmd kh dzod qlovy ekoz,gut mv cmt cn tzwt ghwfu ycwz,gut mv cmt cn tzwt ghwfu ycwz
19,5,rze nu lne li eape rmpwz flpa,lzy ra hry hs yeby lmbkz dhbe,lzy ra hry hs yeby lmbkz dhbe
20,5,saf ov mof mj fbqf snqxa gmqb,qed wf mwd mx djgd qrgpe imgj,qed wf mwd mx djgd qrgpe imgj
21,5,tbg pw npg nk gcrg toryb hnrc,vji bk rbi rc ioli vwluj nrlo,vji bk rbi rc ioli vwluj nrlo
22,5,uch qx oqh ol hdsh upszc iosd,aon gp wgn wh ntqn abqzo swqt,aon gp wgn wh ntqn abqzo swqt
23,5,vdi ry pri pm ieti vqtad jpte,fts lu bls bm syvs fgvet xbvy,fts lu bls bm syvs fgvet xbvy
24,5,wej sz qsj qn jfuj wrube kquf,kyx qz gqx gr xdax klajy cgad,kyx qz gqx gr xdax klajy cgad
25,5,xfk ta rtk ro kgvk xsvcf lrvg,pdc ve lvc lw cifc pqfod hlfi,pdc ve lvc lw cifc pqfod hlfi
1,7,zhm vc tvm tq mixm zuxeh ntxi,zdm xu jxm jo mklm zqlid tjlk,zdm xu jxm jo mklm zqlid tjlk
2,7,ain wd uwn ur njyn avyfi ouyj,gkt eb qet qv trst gxspk aqsr,gkt eb qet qv trst gxspk aqsr
3,7,bjo xe vxo vs okzo bwzgj pvzk,nra li xla xc ayza nezwr hxzy,nra li xla xc ayza nezwr hxzy
4,7,ckp yf wyp wt plap cxahk qwal,uyh sp esh ej hfgh ulgdy oegf,uyh sp esh ej hfgh ulgdy oegf
5,7,dlq zg xzq xu qmbq dybil rxbm,bfo zw lzo lq omno bsnkf vlnm,bfo zw lzo lq omno bsnkf vlnm
6,7,emr ah yar yv rncr ezcjm sycn,imv gd sgv sx vtuv izurm csut,imv gd sgv sx vtuv izurm csut
7,7,fns bi zbs zw sods fadkn tzdo,ptc nk znc ze cabc pgbyt jzba,ptc nk znc ze cabc pgbyt jzba
8,7,got cj act ax tpet gbelo uaep,waj ur guj gl jhij wnifa qgih,waj ur guj gl jhij wnifa qgih
9,7,hpu dk bdu by uqfu hcfmp vbfq,dhq by nbq ns qopq dupmh xnpo,dhq by nbq ns qopq dupmh xnpo
10,7,iqv el cev cz vrgv idgnq wcgr,kox if uix uz xvwx kbwto euwv,kox if uix uz xvwx kbwto euwv
11,7,jrw fm dfw da wshw jehor xdhs,rve pm bpe bg ecde ridav lbdc,rve pm bpe bg ecde ridav lbdc
12,7,ksx gn egx eb xtix kfips yeit,ycl wt iwl in ljkl ypkhc sikj,ycl wt iwl in ljkl ypkhc sikj
14,7,muz ip giz gd zvkz mhkru agkv,mqz kh wkz wb zxyz mdyvq gwyx,mqz kh wkz wb zxyz mdyvq gwyx
15,7,nva jq hja he awla nilsv bhlw,txg ro drg di gefg tkfcx ndfe,txg ro drg di gefg tkfcx ndfe
16,7,owb kr ikb if bxmb ojmtw cimx,aen yv kyn kp nlmn armje ukml,aen yv kyn kp nlmn armje ukml
17,7,pxc ls jlc jg cync pknux djny,hlu fc rfu rw ustu hytql brts,hlu fc rfu rw ustu hytql brts
18,7,qyd mt kmd kh dzod qlovy ekoz,osb mj ymb yd bzab ofaxs iyaz,osb mj ymb yd bzab ofaxs iyaz
19,7,rze nu lne li eape rmpwz flpa,vzi tq fti fk ighi vmhez pfhg,vzi tq fti fk ighi vmhez pfhg
20,7,saf ov mof mj fbqf snqxa gmqb,cgp ax map mr pnop ctolg wmon,cgp ax map mr pnop ctolg wmon
21,7,tbg pw npg nk gcrg toryb hnrc,jnw he thw ty wuvw javsn dtvu,jnw he thw ty wuvw javsn dtvu
22,7,uch qx oqh ol hdsh upszc iosd,qud ol aod af dbcd qhczu kacb,qud ol aod af dbcd qhczu kacb
23,7,vdi ry pri pm ieti vqtad jpte,xbk vs hvk hm kijk xojgb rhji,xbk vs hvk hm kijk xojgb rhji
24,7,wej sz qsj qn jfuj wrube kquf,eir cz ocr ot rpqr evqni yoqp,eir cz ocr ot rpqr evqni yoqp
25,7,xfk ta rtk ro kgvk xsvcf lrvg,lpy jg vjy va ywxy lcxup fvxw,lpy jg vjy va ywxy lcxup fvxw
1,9,zhm vc tvm tq mixm zuxeh ntxi,ztm pa xpm xw mchm zghst vxhc,ztm pa xpm xw mchm zghst vxhc
2,9,ain wd uwn ur njyn avyfi ouyj,icv yj gyv gf vlqv ipqbc egql,icv yj gyv gf vlqv ipqbc egql
3,9,bjo xe vxo vs okzo bwzgj pvzk,rle hs phe po euze ryzkl npzu,rle hs phe po euze ryzkl npzu
4,9,ckp yf wyp wt plap cxahk qwal,aun qb yqn yx ndin ahitu wyid,aun qb yqn yx ndin ahitu wyid
5,9,dlq zg xzq xu qmbq dybil rxbm,jdw zk hzw hg wmrw jqrcd fhrm,jdw zk hzw hg wmrw jqrcd fhrm
6,9,emr ah yar yv rncr ezcjm sycn,smf it qif qp fvaf szalm oqav,smf it qif qp fvaf szalm oqav
7,9,fns bi zbs zw sods fadkn tzdo,bvo rc zro zy oejo bijuv xzje,bvo rc zro zy oejo bijuv xzje
8,9,got cj act ax tpet gbelo uaep,kex al iax ih xnsx krsde gisn,kex al iax ih xnsx krsde gisn
9,9,hpu dk bdu by uqfu hcfmp vbfq,tng ju rjg rq gwbg tabmn prbw,tng ju rjg rq gwbg tabmn prbw
10,9,iqv el cev cz vrgv idgnq wcgr,cwp sd asp az pfkp cjkvw yakf,cwp sd asp az pfkp cjkvw yakf
11,9,jrw fm dfw da wshw jehor xdhs,lfy bm jby ji yoty lstef hjto,lfy bm jby ji yoty lstef hjto
12,9,ksx gn egx eb xtix kfips yeit,uoh kv skh sr hxch ubcno qscx,uoh kv skh sr hxch ubcno qscx
14,9,muz ip giz gd zvkz mhkru agkv,mgz cn kcz kj zpuz mtufg ikup,mgz cn kcz kj zpuz mtufg ikup
15,9,nva jq hja he awla nilsv bhlw,vpi lw tli ts iydi vcdop rtdy,vpi lw tli ts iydi vcdop rtdy
16,9,owb kr ikb if bxmb ojmtw cimx,eyr uf cur cb rhmr elmxy acmh,eyr uf cur cb rhmr elmxy acmh
17,9,pxc ls jlc jg cync pknux djny,nha do lda lk aqva nuvgh jlvq,nha do lda lk aqva nuvgh jlvq
18,9,qyd mt kmd kh dzod qlovy ekoz,wqj mx umj ut jzej wdepq suez,wqj mx umj ut jzej wdepq suez
19,9,rze nu lne li eape rmpwz flpa,fzs vg dvs dc sins fmnyz bdni,fzs vg dvs dc sins fmnyz bdni
20,9,saf ov mof mj fbqf snqxa gmqb,oib ep meb ml brwb ovwhi kmwr,oib ep meb ml brwb ovwhi kmwr
21,9,tbg pw npg nk gcrg toryb hnrc,xrk ny vnk vu kafk xefqr tvfa,xrk ny vnk vu kafk xefqr tvfa
22,9,uch qx oqh ol hdsh upszc iosd,gat wh ewt ed tjot gnoza ceoj,gat wh ewt ed tjot gnoza ceoj
23,9,vdi ry pri pm ieti vqtad jpte,pjc fq nfc nm csxc pwxij lnxs,pjc fq nfc nm csxc pwxij lnxs
24,9,wej sz qsj qn jfuj wrube kquf,ysl oz wol wv lbgl yfgrs uwgb,ysl oz wol wv lbgl yfgrs uwgb
25,9,xfk ta rtk ro kgvk xsvcf lrvg,hbu xi fxu fe ukpu hopab dfpk,hbu xi fxu fe ukpu hopab dfpk
1,11,zhm vc tvm tq mixm zuxeh ntxi,zjm hg lhm le mudm zwdcj xldu,zjm hg lhm le mudm zwdcj xldu
2,11,ain wd uwn ur njyn avyfi ouyj,kux sr wsx wp xfox khonu iwof,kux sr wsx wp xfox khonu iwof
3,11,bjo xe vxo vs okzo bwzgj pvzk,vfi dc hdi ha iqzi vszyf thzq,vfi dc hdi ha iqzi vszyf thzq
4,11,ckp yf wyp wt plap cxahk qwal,gqt on sot sl tbkt gdkjq eskb,gqt on sot sl tbkt gdkjq eskb
5,11,dlq zg xzq xu qmbq dybil rxbm,rbe zy dze dw emve rovub pdvm,rbe zy dze dw emve rovub pdvm
6,11,emr ah yar yv rncr ezcjm sycn,cmp kj okp oh pxgp czgfm aogx,cmp kj okp oh pxgp czgfm aogx
7,11,fns bi zbs zw sods fadkn tzdo,nxa vu zva zs aira nkrqx lzri,nxa vu zva zs aira nkrqx lzri
8,11,got cj act ax tpet gbelo uaep,yil gf kgl kd ltcl yvcbi wkct,yil gf kgl kd ltcl yvcbi wkct
9,11,hpu dk bdu by uqfu hcfmp vbfq,jtw rq vrw vo wenw jgnmt hvne,jtw rq vrw vo wenw jgnmt hvne
10,11,iqv el cev cz vrgv idgnq wcgr,ueh cb gch gz hpyh uryxe sgyp,ueh cb gch gz hpyh uryxe sgyp
11,11,jrw fm dfw da wshw jehor xdhs,fps nm rns rk sajs fcjip drja,fps nm rns rk sajs fcjip drja
12,11,ksx gn egx eb xtix kfips yeit,qad yx cyd cv dlud qnuta ocul,qad yx cyd cv dlud qnuta ocul
14,11,muz ip giz gd zvkz mhkru agkv,mwz ut yuz yr zhqz mjqpw kyqh,mwz ut yuz yr zhqz mjqpw kyqh
15,11,nva jq hja he awla nilsv bhlw,xhk fe jfk jc ksbk xubah vjbs,xhk fe jfk jc ksbk xubah vjbs
16,11,owb kr ikb if bxmb ojmtw cimx,isv qp uqv un vdmv ifmls gumd,isv qp uqv un vdmv ifmls gumd
17,11,pxc ls jlc jg cync pknux djny,tdg ba fbg fy goxg tqxwd rfxo,tdg ba fbg fy goxg tqxwd rfxo
18,11,qyd mt kmd kh dzod qlovy ekoz,eor ml qmr qj rzir ebiho cqiz,eor ml qmr qj rzir ebiho cqiz
19,11,rze nu lne li eape rmpwz flpa,pzc xw bxc bu cktc pmtsz nbtk,pzc xw bxc bu cktc pmtsz nbtk
20,11,saf ov mof mj fbqf snqxa gmqb,akn ih min mf nven axedk ymev,akn ih min mf nven axedk ymev
21,11,tbg pw npg nk gcrg toryb hnrc,lvy ts xty xq ygpy lipov jxpg,lvy ts xty xq ygpy lipov jxpg
22,11,uch qx oqh ol hdsh upszc iosd,wgj ed iej ib jraj wtazg uiar,wgj ed iej ib jraj wtazg uiar
23,11,vdi ry pri pm ieti vqtad jpte,hru po tpu tm uclu helkr ftlc,hru po tpu tm uclu helkr ftlc
24,11,wej sz qsj qn jfuj wrube kquf,scf az eaf ex fnwf spwvc qewn,scf az eaf ex fnwf spwvc qewn
25,11,xfk ta rtk ro kgvk xsvcf lrvg,dnq lk plq pi qyhq dahgn bphy,dnq lk plq pi qyhq dahgn bphy
1,15,zhm vc tvm tq mixm zuxeh ntxi,zpm rs nrm nu mevm zcvwp bnve,zpm rs nrm nu mevm zcvwp bnve
2,15,ain wd uwn ur njyn avyfi ouyj,oeb gh cgb cj btkb orkle qckt,oeb gh cgb cj btkb orkle qckt
3,15,bjo xe vxo vs okzo bwzgj pvzk,dtq vw rvq ry qizq dgzat frzi,dtq vw rvq ry qizq dgzat frzi
4,15,ckp yf wyp wt plap cxahk qwal,sif kl gkf gn fxof svopi ugox,sif kl gkf gn fxof svopi ugox
5,15,dlq zg xzq xu qmbq dybil rxbm,hxu za vzu vc umdu hkdex jvdm,hxu za vzu vc umdu hkdex jvdm
6,15,emr ah yar yv rncr ezcjm sycn,wmj op koj kr jbsj wzstm yksb,wmj op koj kr jbsj wzstm yksb
7,15,fns bi zbs zw sods fadkn tzdo,lby de zdy zg yqhy lohib nzhq,lby de zdy zg yqhy lohib nzhq
8,15,got cj act ax tpet gbelo uaep,aqn st osn ov nfwn adwxq cowf,aqn st osn ov nfwn adwxq cowf
9,15,hpu dk bdu by uqfu hcfmp vbfq,pfc hi dhc dk culc pslmf rdlu,pfc hi dhc dk culc pslmf rdlu
10,15,iqv el cev cz vrgv idgnq wcgr,eur wx swr sz rjar ehabu gsaj,eur wx swr sz rjar ehabu gsaj
11,15,jrw fm dfw da wshw jehor xdhs,tjg lm hlg ho gypg twpqj vhpy,tjg lm hlg ho gypg twpqj vhpy
12,15,ksx gn egx eb xtix kfips yeit,iyv ab wav wd vnev ilefy kwen,iyv ab wav wd vnev ilefy kwen
14,15,muz ip giz gd zvkz mhkru agkv,mcz ef aez ah zriz mpijc oair,mcz ef aez ah zriz mpijc oair
15,15,nva jq hja he awla nilsv bhlw,bro tu pto pw ogxo bexyr dpxg,bro tu pto pw ogxo bexyr dpxg
16,15,owb kr ikb if bxmb ojmtw cimx,qgd ij eid el dvmd qtmng semv,qgd ij eid el dvmd qtmng semv
17,15,pxc ls jlc jg cync pknux djny,fvs xy txs ta skbs fibcv htbk,fvs xy txs ta skbs fibcv htbk
18,15,qyd mt kmd kh dzod qlovy ekoz,ukh mn imh ip hzqh uxqrk wiqz,ukh mn imh ip hzqh uxqrk wiqz
19,15,rze nu lne li eape rmpwz flpa,jzw bc xbw xe wofw jmfgz lxfo,jzw bc xbw xe wofw jmfgz lxfo
20,15,saf ov mof mj fbqf snqxa gmqb,yol qr mql mt ldul ybuvo amud,yol qr mql mt ldul ybuvo amud
21,15,tbg pw npg nk gcrg toryb hnrc,nda fg bfa bi asja nqjkd pbjs,nda fg bfa bi asja nqjkd pbjs
22,15,uch qx oqh ol hdsh upszc iosd,csp uv qup qx phyp cfyzs eqyh,csp uv qup qx phyp cfyzs eqyh
23,15,vdi ry pri pm ieti vqtad jpte,rhe jk fje fm ewne runoh tfnw,rhe jk fje fm ewne runoh tfnw
24,15,wej sz qsj qn jfuj wrube kquf,gwt yz uyt ub tlct gjcdw iucl,gwt yz uyt ub tlct gjcdw iucl
25,15,xfk ta rtk ro kgvk xsvcf lrvg,vli no jni jq iari vyrsl xjra,vli no jni jq iari vyrsl xjra
1,17,zhm vc tvm tq mixm zuxeh ntxi,zfm jy bjm bc mwrm zsrgf dbrw,zfm jy bjm bc mwrm zsrgf dbrw
2,17,ain wd uwn ur njyn avyfi ouyj,qwd ap sad st dnid qjixw usin,qwd ap sad st dnid qjixw usin
3,17,bjo xe vxo vs okzo bwzgj pvzk,hnu rg jru jk uezu hazon ljze,hnu rg jru jk uezu hazon ljze
